"name","SMILES","InChI","InChIKey","formula","neutralMass","molNeutralized","mz"
"10,11-Dihydro-10-hydroxycarbamazepine-TP1","C1C(C2=CC=CC=C2N(C3=CC=CC=C31)C(=O)N)=O","InChI=1S/C15H12N2O2/c16-15(19)17-12-7-3-1-5-10(12)9-14(18)11-6-2-4-8-13(11)17/h1-8H,9H2,(H2,16,19)","CTRLABGOLIVAIY-UHFFFAOYSA-N","C15H12N2O2",252.089877624,FALSE,NA
"10,11-Dihydro-10-hydroxycarbamazepine-TP2","C1C(C2=CC=CC=C2NC3=CC=CC=C31)O","InChI=1S/C14H13NO/c16-14-9-10-5-1-3-7-12(10)15-13-8-4-2-6-11(13)14/h1-8,14-16H,9H2","NPKCAMZGRRHFTJ-UHFFFAOYSA-N","C14H13NO",211.099714036,FALSE,NA
"10,11-Dihydro-10-hydroxycarbamazepine-TP3","C(=O)(N)O","InChI=1S/CH3NO2/c2-1(3)4/h2H2,(H,3,4)","KXDHJXZQYSOELW-UHFFFAOYSA-N","CH3NO2",61.016378336,TRUE,NA
"10,11-Dihydro-10-hydroxycarbamazepine-TP4","C(C(C1=CC=C[CH](=C1O)O)O)C2=CC=CC=C2NC(=O)N","InChI=1S/C15H17N2O4/c16-15(21)17-11-6-2-1-4-9(11)8-13(19)10-5-3-7-12(18)14(10)20/h1-7,12-13,18-20H,8H2,(H3,16,17,21)","CXIWGSQMTVUFAL-UHFFFAOYSA-N","C15H17N2O4",289.118832024,FALSE,NA
"10,11-Dihydro-10-hydroxycarbamazepine-TP5","C1C(C2=CC=CC=C2NC3=CC=CC=C31)=O","InChI=1S/C14H11NO/c16-14-9-10-5-1-3-7-12(10)15-13-8-4-2-6-11(13)14/h1-8,15H,9H2","VSZGCLXGCOECAY-UHFFFAOYSA-N","C14H11NO",209.084063972,FALSE,NA
"10,11-Dihydro-10-hydroxycarbamazepine-TP6","C1C2=CC=CC=C2N(C3=CC=CC=C3C(=O)O1)C(=O)N","InChI=1S/C15H12N2O3/c16-15(19)17-12-7-3-1-5-10(12)9-20-14(18)11-6-2-4-8-13(11)17/h1-8H,9H2,(H2,16,19)","ZWTWSSNRIRCHKR-UHFFFAOYSA-N","C15H12N2O3",268.084792244,FALSE,NA
"10,11-Dihydro-10-hydroxycarbamazepine-TP7","C(C(C1=CC=C[CH](=C1O)O)=O)C2=CC=CC=C2NC(=O)N","InChI=1S/C15H15N2O4/c16-15(21)17-11-6-2-1-4-9(11)8-13(19)10-5-3-7-12(18)14(10)20/h1-7,12,18,20H,8H2,(H3,16,17,21)","RCTUGYQCUZAIIM-UHFFFAOYSA-N","C15H15N2O4",287.10318196,FALSE,NA
"10,11-Dihydro-10-hydroxycarbamazepine-TP15","C1C2=CC=CC=C2NC3=CC=CC=C3C(=O)O1","InChI=1S/C14H11NO2/c16-14-11-6-2-4-8-13(11)15-12-7-3-1-5-10(12)9-17-14/h1-8,15H,9H2","XGBLPWQPLUEREU-UHFFFAOYSA-N","C14H11NO2",225.078978592,FALSE,NA
"10,11-Dihydro-10-hydroxycarbamazepine-TP16","C(C(C1=CC=C[CH](=C1O)O)=O)C2=CC=CC=C2N","InChI=1S/C14H14NO3/c15-11-6-2-1-4-9(11)8-13(17)10-5-3-7-12(16)14(10)18/h1-7,12,16,18H,8,15H2","YPQGHEMYEXRGNB-UHFFFAOYSA-N","C14H14NO3",244.097368308,FALSE,NA
"10,11-Dihydro-10-hydroxycarbamazepine-TP17","C(c1ccccc1N(c1ccccc1C(=O)O)C(=O)N)O","InChI=1S/C15H14N2O4/c16-15(21)17(12-7-3-1-5-10(12)9-18)13-8-4-2-6-11(13)14(19)20/h1-8,18H,9H2,(H2,16,21)(H,19,20)","DWNQALMLNSSWSB-UHFFFAOYSA-N","C15H14N2O4",286.095356928,TRUE,NA
"10,11-Dihydro-10-hydroxycarbamazepine-TP18","C1(C2=CC=CC=C2N(C3=CC=CC=C3C(=O)O1)C(=O)N)O","InChI=1S/C15H12N2O4/c16-15(20)17-11-7-3-1-5-9(11)13(18)21-14(19)10-6-2-4-8-12(10)17/h1-8,13,18H,(H2,16,20)","QKJWWVMYUSVYNJ-UHFFFAOYSA-N","C15H12N2O4",284.079706864,FALSE,NA
"10,11-Dihydro-10-hydroxycarbamazepine-TP19","C(C(C1=CC=C[CH2](C1(O)O)O)=O)C2=CC=CC=C2NC(=O)N","InChI=1S/C15H17N2O5/c16-14(20)17-11-6-2-1-4-9(11)8-12(18)10-5-3-7-13(19)15(10,21)22/h1-7,19,21-22H,8,13H2,(H3,16,17,20)","QMZMSVRSCKYJOE-UHFFFAOYSA-N","C15H17N2O5",305.113746644,FALSE,NA
"10,11-Dihydro-10-hydroxycarbamazepine-TP20","C(C(C1C(C=C[CH](=C1O)O)O)=O)C2=CC=CC=C2NC(=O)N","InChI=1S/C15H17N2O5/c16-15(22)17-9-4-2-1-3-8(9)7-12(20)13-10(18)5-6-11(19)14(13)21/h1-6,10-11,13,18-19,21H,7H2,(H3,16,17,22)","JYYHYSVWORIFKN-UHFFFAOYSA-N","C15H17N2O5",305.113746644,FALSE,NA
"10,11-Dihydro-10-hydroxycarbamazepine-TP21","C(C(C1=CC=C[CH](C1O)=O)=O)C2=CC=CC=C2NC(=O)N","InChI=1S/C15H15N2O4/c16-15(21)17-11-6-2-1-4-9(11)8-13(19)10-5-3-7-12(18)14(10)20/h1-7,12,14,20H,8H2,(H3,16,17,21)","RYTPRJVGTFHFRH-UHFFFAOYSA-N","C15H15N2O4",287.10318196,FALSE,NA
"10,11-Dihydro-10-hydroxycarbamazepine-TP22","C(C(C1=CC=C[CH2](C1=O)O)=O)C2=CC=CC=C2NC(=O)N","InChI=1S/C15H15N2O4/c16-15(21)17-11-6-2-1-4-9(11)8-13(19)10-5-3-7-12(18)14(10)20/h1-7,18H,8,12H2,(H3,16,17,21)","JIFJIJRSTLDDCU-UHFFFAOYSA-N","C15H15N2O4",287.10318196,FALSE,NA
