Compound,CID,CanonicalSMILES,norman_sus_dat_id,pnec_ugL
"10,11-Dihydro-10-hydroxycarbamazepine",114709,C1C(C2=CC=CC=C2N(C3=CC=CC=C31)C(=O)N)O,NS00010437,100
"2,4-Dichlorophenoxyacetic acid",1486,C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,NS00000247,0.6
"2,6-Dichlorobenzamide",16183,C1=CC(=C(C(=C1)Cl)C(=O)N)Cl,NS00008260,78
2-Hydroxyquinoline,6038,C1=CC=C2C(=C1)C=CC(=O)N2,NS00034131,7.45758
4-Hydroxydiclofenac,116545,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=C(C=C2Cl)O)Cl,NS00000631,0.22168
4-Methyl-1H-benzotriazole,122499,CC1=CC=CC2=NNN=C12,NS00010509,8
Acetaminophen,1983,CC(=O)NC1=CC=C(C=C1)O,NS00000231,46
Acetanilide,904,CC(=O)NC1=CC=CC=C1,NS00003596,20.05218
Antipyrine,2206,CC1=CC(=O)N(N1C)C2=CC=CC=C2,NS00000287,1.1
Atenolol,2249,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,NS00010385,150
Atrazin,2256,CCNC1=NC(=NC(=N1)Cl)NC(C)C,NS00000262,0.1
Bentazon,2328,CC(C)N1C(=O)C2=CC=CC=C2NS1(=O)=O,NS00000236,270
Benzotriazole,7220,C1=CC2=NNN=C2C=C1,NS00010261,19
Bezafibrate,39042,CC(C)(C(=O)O)OC1=CC=C(C=C1)CCNC(=O)C2=CC=C(C=C2)Cl,NS00000219,2.3
Bisphenol A,6623,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,NS00008865,0.000034
Caffeine,2519,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,NS00000273,1.2
Candesartan Cilexetil,2540,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)OC(C)OC(=O)OC6CCCCC6,NA,NA
Carbamazepine,2554,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,NS00000207,2.5
Chloridazon,15546,C1=CC=C(C=C1)N2C(=O)C(=C(C=N2)N)Cl,NS00008895,10
Ciprofloxacin,2764,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,NS00008031,0.064
Citalopram,2771,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,NS00000035,16
Clarithromycin,84029,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,NS00098550,0.13
Clofibric acid,2797,CC(C)(C(=O)O)OC1=CC=C(C=C1)Cl,NS00000215,16.51112
DEET,4284,CCN(CC)C(=O)C1=CC=CC(=C1)C,NS00000221,88
Diclofenac,3033,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,NS00000212,0.04
Diflufenican,91735,C1=CC(=CC(=C1)OC2=C(C=CC=N2)C(=O)NC3=C(C=C(C=C3)F)F)C(F)(F)F,NS00008837,0.01
Diuron,3120,CN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl,NS00000265,0.049
Fenuron,7560,CN(C)C(=O)NC1=CC=CC=C1,NS00000525,1.45
Fipronil,3352,C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)S(=O)C(F)(F)F)N)Cl)C(F)(F)F,NS00000349,0.00077
Fluconazole,3365,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,NS00000281,0.25
Fluopyram,11158353,C1=CC=C(C(=C1)C(=O)NCCC2=C(C=C(C=N2)C(F)(F)F)Cl)C(F)(F)F,NS00001768,13.5
Fluoxetine,3386,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,NS00000284,0.012
Fluroxypyr,50465,C(C(=O)O)OC1=NC(=C(C(=C1Cl)N)Cl)F,NS00001734,123
Fluxapyroxad,16095400,CN1C=C(C(=N1)C(F)F)C(=O)NC2=CC=CC=C2C3=CC(=C(C(=C3)F)F)F,NS00006403,3.6
